Date,Time,Type,Remark,Keyword,"Total Time (Seconds)","Speed Upload (KB)","Speed Download (KB)","Size Upload (KB)","Size Download (KB)"
05-08-2017,16:30:43,TrackerStart
05-08-2017,16:30:43,KeywordSearchStart,"Ankylosing Spodylitis","Ankylosing Spodylitis"
05-08-2017,16:30:43,Request,https://clinicaltrials.gov/ct2/results?term=Ankylosing+Spodylitis&Search=&displayxml=true&pg=1,"Ankylosing Spodylitis",0.219,0,1228,0.00,0.26
05-08-2017,16:30:43,KeywordSearchEnd,"Ankylosing Spodylitis","Ankylosing Spodylitis"
05-08-2017,16:30:43,KeywordSearchStart,"Crohn's Disease","Crohn's Disease"
05-08-2017,16:30:43,Request,https://clinicaltrials.gov/ct2/results?term=Crohn%27s+Disease&Search=&displayxml=true&pg=1,"Crohn's Disease",0.109,0,2467,0.00,0.26
05-08-2017,16:30:43,KeywordSearchEnd,"Crohn's Disease","Crohn's Disease"
05-08-2017,16:30:43,KeywordSearchStart,Psoriasis,Psoriasis
05-08-2017,16:30:43,Request,https://clinicaltrials.gov/ct2/results?term=Psoriasis&Search=&displayxml=true&pg=1,Psoriasis,0.094,0,2861,0.00,0.26
05-08-2017,16:30:43,KeywordSearchEnd,Psoriasis,Psoriasis
05-08-2017,16:30:43,KeywordSearchStart,"Psoriatic Arthritis","Psoriatic Arthritis"
05-08-2017,16:30:43,Request,https://clinicaltrials.gov/ct2/results?term=Psoriatic+Arthritis&Search=&displayxml=true&pg=1,"Psoriatic Arthritis",0.093,0,2892,0.00,0.26
05-08-2017,16:30:43,KeywordSearchEnd,"Psoriatic Arthritis","Psoriatic Arthritis"
05-08-2017,16:30:43,KeywordSearchStart,"Rheumatoid Arthritis","Rheumatoid Arthritis"
05-08-2017,16:30:43,Request,https://clinicaltrials.gov/ct2/results?term=Rheumatoid+Arthritis&Search=&displayxml=true&pg=1,"Rheumatoid Arthritis",0.094,0,2861,0.00,0.26
05-08-2017,16:30:43,KeywordSearchEnd,"Rheumatoid Arthritis","Rheumatoid Arthritis"
05-08-2017,16:30:43,KeywordSearchStart,Spondyloarthritis,Spondyloarthritis
05-08-2017,16:30:43,Request,https://clinicaltrials.gov/ct2/results?term=Spondyloarthritis&Search=&displayxml=true&pg=1,Spondyloarthritis,0.109,0,2467,0.00,0.26
05-08-2017,16:30:43,KeywordSearchEnd,Spondyloarthritis,Spondyloarthritis
05-08-2017,16:30:43,KeywordSearchStart,"Ulcerative Colitis","Ulcerative Colitis"
05-08-2017,16:30:44,Request,https://clinicaltrials.gov/ct2/results?term=Ulcerative+Colitis&Search=&displayxml=true&pg=1,"Ulcerative Colitis",0.109,0,2467,0.00,0.26
05-08-2017,16:30:44,KeywordSearchEnd,"Ulcerative Colitis","Ulcerative Colitis"
05-08-2017,16:30:44,KeywordSearchStart,Abatecept,Abatecept
05-08-2017,16:30:44,Request,https://clinicaltrials.gov/ct2/results?term=Abatecept&Search=&displayxml=true&pg=1,Abatecept,0.11,0,2445,0.00,0.26
05-08-2017,16:30:44,KeywordSearchEnd,Abatecept,Abatecept
05-08-2017,16:30:44,KeywordSearchStart,ABT-494,ABT-494
05-08-2017,16:30:44,Request,https://clinicaltrials.gov/ct2/results?term=ABT-494&Search=&displayxml=true&pg=1,ABT-494,0.125,0,2152,0.00,0.26
05-08-2017,16:30:44,KeywordSearchEnd,ABT-494,ABT-494
05-08-2017,16:30:44,KeywordSearchStart,ABT494,ABT494
05-08-2017,16:30:44,Request,https://clinicaltrials.gov/ct2/results?term=ABT494&Search=&displayxml=true&pg=1,ABT494,0.109,0,2467,0.00,0.26
05-08-2017,16:30:44,KeywordSearchEnd,ABT494,ABT494
05-08-2017,16:30:44,KeywordSearchStart,Actemra,Actemra
05-08-2017,16:30:44,Request,https://clinicaltrials.gov/ct2/results?term=Actemra&Search=&displayxml=true&pg=1,Actemra,0.11,0,2445,0.00,0.26
05-08-2017,16:30:44,KeywordSearchEnd,Actemra,Actemra
05-08-2017,16:30:44,KeywordSearchStart,Adalimumab,Adalimumab
05-08-2017,16:30:44,Request,https://clinicaltrials.gov/ct2/results?term=Adalimumab&Search=&displayxml=true&pg=1,Adalimumab,0.093,0,2892,0.00,0.26
05-08-2017,16:30:44,KeywordSearchEnd,Adalimumab,Adalimumab
05-08-2017,16:30:44,KeywordSearchStart,AIN-457,AIN-457
05-08-2017,16:30:44,Request,https://clinicaltrials.gov/ct2/results?term=AIN-457&Search=&displayxml=true&pg=1,AIN-457,0.094,0,2861,0.00,0.26
05-08-2017,16:30:44,KeywordSearchEnd,AIN-457,AIN-457
05-08-2017,16:30:44,KeywordSearchStart,AIN457,AIN457
05-08-2017,16:30:44,Request,https://clinicaltrials.gov/ct2/results?term=AIN457&Search=&displayxml=true&pg=1,AIN457,0.109,0,2467,0.00,0.26
05-08-2017,16:30:44,KeywordSearchEnd,AIN457,AIN457
05-08-2017,16:30:44,KeywordSearchStart,AJM-300,AJM-300
05-08-2017,16:30:44,Request,https://clinicaltrials.gov/ct2/results?term=AJM-300&Search=&displayxml=true&pg=1,AJM-300,0.109,0,2467,0.00,0.26
05-08-2017,16:30:44,KeywordSearchEnd,AJM-300,AJM-300
05-08-2017,16:30:44,KeywordSearchStart,AJM300,AJM300
05-08-2017,16:30:45,Request,https://clinicaltrials.gov/ct2/results?term=AJM300&Search=&displayxml=true&pg=1,AJM300,0.11,0,2445,0.00,0.26
05-08-2017,16:30:45,KeywordSearchEnd,AJM300,AJM300
05-08-2017,16:30:45,KeywordSearchStart,AMG-327,AMG-327
05-08-2017,16:30:45,Request,https://clinicaltrials.gov/ct2/results?term=AMG-327&Search=&displayxml=true&pg=1,AMG-327,0.109,0,2467,0.00,0.26
05-08-2017,16:30:45,KeywordSearchEnd,AMG-327,AMG-327
05-08-2017,16:30:45,KeywordSearchStart,AMG327,AMG327
05-08-2017,16:30:45,Request,https://clinicaltrials.gov/ct2/results?term=AMG327&Search=&displayxml=true&pg=1,AMG327,0.11,0,2445,0.00,0.26
05-08-2017,16:30:45,KeywordSearchEnd,AMG327,AMG327
05-08-2017,16:30:45,KeywordSearchStart,Apremilast,Apremilast
05-08-2017,16:30:45,Request,https://clinicaltrials.gov/ct2/results?term=Apremilast&Search=&displayxml=true&pg=1,Apremilast,0.109,0,2467,0.00,0.26
05-08-2017,16:30:45,KeywordSearchEnd,Apremilast,Apremilast
05-08-2017,16:30:45,KeywordSearchStart,Baricitinib,Baricitinib
05-08-2017,16:30:45,Request,https://clinicaltrials.gov/ct2/results?term=Baricitinib&Search=&displayxml=true&pg=1,Baricitinib,0.109,0,2467,0.00,0.26
05-08-2017,16:30:45,KeywordSearchEnd,Baricitinib,Baricitinib
05-08-2017,16:30:45,KeywordSearchStart,Brodalumab,Brodalumab
05-08-2017,16:30:45,Request,https://clinicaltrials.gov/ct2/results?term=Brodalumab&Search=&displayxml=true&pg=1,Brodalumab,0.094,0,2861,0.00,0.26
05-08-2017,16:30:45,KeywordSearchEnd,Brodalumab,Brodalumab
05-08-2017,16:30:45,KeywordSearchStart,certolizumab,certolizumab
